User-ID,ISBN,Book-Rating
17,0891075275,6
56,0679865691,9
114,0312953453,7
160,9727110843,8
160,9728579225,8
183,9728440200,9
183,18128/87,7
183,9748440537,8
183,16560/87,10
183,30623/89,7
183,9728515227,9
183,18678/87,7
183,100940/86,9
183,9722013831,6
183,9726101034,7
183,16785/87,7
183,140274871,8
183,9729852405,8
183,127420/98,8
183,8585443464,9
183,9722330950,9
183,972370403X,8
183,9728440324,9
183,9728487304,6
183,9728440170,9
183,9729720495,9
242,3257233051,9
242,3257208669,9
243,0449006522,6
243,0060915544,10
243,0316776963,9
254,0681415207,7
254,1556520743,9
254,0373834446,8
254,1931081727,9
254,0590353403,9
254,0451409256,7
254,0380973634,10
254,0312863934,9
254,0679781587,8
254,0671021001,7
272,0060977477,7
289,0064470113,7
300,038081840X,5
300,0380728729,5
300,0812541642,5
362,0671643290,8
362,0575064706,4
383,0385416342,10
383,0425098109,5
388,006101351X,6
388,0140104682,6
388,1579651658,8
392,8476021550,5
392,8478098267,9
392,8429725792,7
408,0801491827,6
424,0671021001,6
440,0393321576,8
441,0684854953,5
444,0871138646,8
446,0026329859,10
446,0393048977,5
446,1877727083,8
472,0312965745,5
476,0515118656,8
476,0312288115,5
487,0486272664,9
503,0373076746,7
503,0892819774,10
505,038549825X,8
505,0679401377,8
505,0805056491,9
507,0553576801,7
507,0375815147,9
507,0553580523,7
507,0553564528,7
507,0821772953,8
507,0553294849,7
566,0399144463,2
619,015600710X,8
619,0062517856,7
625,2253007102,10
625,2070384349,10
626,3725410127,7
626,3426760207,9
638,0446531332,10
638,0446523569,10
638,1558747028,10
638,0679410430,10
638,0609605925,8
638,0743406176,10
638,0679442790,10
638,0446527793,10
638,0670892963,7
638,0671042556,9
638,0425184129,9
638,0679603352,10
638,0316769487,10
638,0140128107,10
638,0316779423,10
640,0446602086,5
643,2876916193,7
643,190178424X,8
643,2253140872,8
643,2253006866,8
643,0552546933,9
643,2253002895,7
643,0140366857,9
643,0261102214,9
643,2871290911,6
643,057120354X,5
643,0671894455,7
643,2229137939,10
643,0198604025,7
643,1405401184,5
651,0345370740,7
651,0786886463,7
651,1563411148,6
651,0060006048,5
651,0553574167,6
657,038529929X,6
695,0451205421,7
709,015216250X,10
709,0689829698,6
709,0439221684,5
709,9780590962735,9
709,0440415993,10
726,0380820447,10
726,0385497679,10
726,0451454243,10
741,0373037449,10
741,0140065172,10
741,0373196725,10
741,07472668,10
744,042512892X,8
746,0812516826,5
753,0741405784,8
753,0759612277,10
753,1594110119,10
776,0876850867,8
786,0553584510,6
805,0452282152,8
805,0911104542,10
805,038001503X,10
805,0877733759,10
819,0345384466,5
819,0451124340,5
850,3518371002,3
850,3453171977,10
850,3934254454,6
850,3596133319,6
850,3499425394,8
853,0345375211,9
853,0345358791,5
853,0140042520,8
882,0449700712,9
882,0553290207,10
882,0446344109,9
882,0064401847,10
882,0553272586,5
882,0440235162,10
882,0440215978,5
882,0553258656,10
882,0446895725,7
882,0140440399,9
882,0553280589,10
882,0618260307,10
885,0380002450,9
896,0140620338,8
899,3257061269,9
899,3453088433,4
899,3746670144,7
900,0373092237,5
900,0441001335,5
901,0551030682,8
901,1853261750,9
901,1576832899,10
901,0091880963,8
901,0099771519,9
901,000649840X,9
914,3257250053,10
929,0029087104,8
929,0345285549,5
929,0553801031,9
929,0440224624,6
929,0451169530,6
1009,0399149759,8
1009,0671028375,10
1021,1570362084,10
1025,0060928336,5
1025,000636988X,9
1025,0330258648,10
1025,0749725028,6
1025,0142000663,10
1031,0671027360,7
1063,0802069347,7
